makes me feel like,gibt mir das Gefühl
get grips with,in den Griff bekommen
give sniff at,über die Nase rümpfen
give free rein,freien Lauf lassen
give big hand,starken Applaus spenden
give dirty look,einen bösen Blick zuwerfen
give leg up,auf die Sprünge helfen
give quite turn,einen schönen Schrecken einjagen
give the (middle) finger,den Stinkefinger zeigen
give the evil eye,böse anschauen
give the green light,grünes Licht geben
give the thumbs up,seine Zustimmung geben
go beyond joke,nicht mehr lustig sein
go in the crapper,vor die Hunde gehen
go on the game,auf den Strich gehen
go on the run,sich aus dem Staub machen
go out the window,sich in Luft auflösen
go under the knife,sich unters Messer legen
go under the knife,unters Messer kommen
grow thick skin,sich ein dickes Fell anschaffen
grow thick skin,sich ein dickes Fell zulegen
hang lantern on,an die große Glocke hängen
have crack at,in Angriff nehmen
have lock on,voll unter Kontrolle haben
have thing for,süß finden
have it in for,es auf abgesehen haben
have it off with,es mit treiben
have no business doing,"nicht das Recht haben, zu tun"
have no say in,bei nichts zu sagen haben
have one's pick of,sich aussuchen können
have on one's conscience,auf dem Gewissen haben
have some say in,ein Wörtchen bei mitzureden haben
have (well) in hand,(gut) im Griff haben
have on one's hands,am Hals haben
have the hots for,auf scharf sein
have the hots for,in verknallt sein
have the Midas touch,ein glückliches Händchen haben
Unverified hold the purse strings,die Hand auf der Tasche halten
keep an eye on,im Auge behalten
keep one's eye on,im Blick behalten
keep the hands off,die Finger von lassen
knock down peg,auf seinen Platz verweisen
knock on the head,den Sack zubinden
know all the dodges,mit allen Wassern gewaschen sein
know them inside out,seine Pappenheimer kennen
laugh in one's sleeve,sich ins Fäustchen lachen
lay the foundations for,das Fundament für schaffen
leave in the lurch,im Regen stehen lassen
leave in the lurch,im Stich lassen
let one's hair down,aus sich herausgehen
let oneself in for,sich einbrocken
lie close heart,(sehr) am Herzen liegen
lie through one's teeth,das Blaue vom Himmel herunter lügen
lie through one's teeth,"lügen, dass sich die Balken biegen"
live on thin air,von Luft und Liebe leben
liven up the joint,Leben in die Bude bringen
Unverified make (real) boob,einen (kapitalen) Bock schießen
make bolt for,sich auf stürzen
make stand against,gegen Front machen
make mincemeat (out) of,Kleinholz aus machen
make no bones about,keinen Hehl aus machen
make no pretence of,kein Hehl aus machen
make mouth water,den Mund wässrig machen
move up gear,einen Gang zulegen
muster all one's courage,sein Herz in die Hand nehmen
not mean any harm,sich (gar) nichts Böses dabei denken
not take into consideration,außer Acht lassen
paint the town red,die Puppen tanzen lassen
pass the buck for,die Verantwortung für abschieben
pass the buck,den schwarzen Peter zuschieben zuspielen
pull over the barrel,über den Tisch ziehen
put damper on,einen Dämpfer aufsetzen
put damper on,einen Dämpfer versetzen
put stop,die Bremse reinhauen
put stop,einen Riegel schieben
put no value,auf keinen Wert legen
put one's back into,sich in hineinknien
put one's foot down,energisch auftreten
put out of action,außer Gefecht setzen
Unverified put through his paces,durch den Wolf drehen
put in nutshell,auf den Punkt bringen
Unverified put things right (again),(wieder) einrenken
read the riot act,die Leviten lesen
reckon without one's host,die Rechnung ohne den Wirt machen
remain up for grabs,noch zu vergeben sein
roar one's lungs out,sich die Kehle wund schreien
run out of steam,am Ende sein (mit
see the bigger picture,den Blick über den (eigenen) Gartenzaun werfen
set much store by,auf großen Wert legen
set much store by,auf viel Wert legen
shine light on,beleuchten
show one's teeth (to,die Zähne zeigen
sit on one's hands,dasitzen und Däumchen drehen
Unverified sit on one's hands,keinen Finger krumm machen
sit on the fence,sich zu keiner Partei schlagen
slip through fingers,durch die Lappen gehen
sow one's wild oats,sich die Hörner abstoßen
speak one's mind aloud,seine Meinung laut und deutlich aussprechen ausdrücken
spring mind,spontan in den Sinn kommen
stare in the face,ins Auge springen
stick one's guns,dabei bleiben
stick one's guns,nicht locker lassen
stumble on one's words,über seine die eigenen Worte stolpern
swear black and blue,Stein und Bein schwören
swear up and down,Stein und Bein schwören
take (to) the floor,das Tanzbein schwingen
take shine,an Gefallen finden
take whiff of,Wind von kriegen
take full credit for,die Urheberschaft für allein beanspruchen
take pains do,"sich bestreben, zu tun"
take the woodshed,bestrafen
take as gospel (truth),für bare Münze nehmen
take at face value,für bare Münze nehmen
take at face value,unbesehen glauben
take in one's stride,mit gut klarkommen
take in one's stride,mit spielend fertig werden
tear strip off,zur Schnecke machen
tear off strip,zur Schnecke machen
tell under the rose,im Vertrauen sagen
throw one's weight about,den starken Mann markieren
toot one's own horn,sich selbst beweihräuchern
treat like doormat,wie (den letzten) Dreck behandeln
Unverified treat with kid gloves,in Watte packen
turn one's back on,den Rücken zukehren
turn on its head,auf den Kopf stellen
turn the scales against,sich zu Ungunsten auswirken
turn up the heat,aufdrehen
twist every word,jedes Wort im Mund umdrehen
undo the Gordian knot,den gordischen Knoten lösen
untie the Gordian knot,den gordischen Knoten lösen
vent one's spleen on,seine Wut an auslassen
wave the white flag,
wish at the devil,zum Teufel wünschen
wreak one's anger on,seine Wut an auslassen
host of questions,eine Menge Fragen
Unverified touch of stardust,ein Hauch (von) Hollywood
wide gulf between,eine tiefe Kluft zwischen
(as) full as tick,pappsatt
(as) pale as corpse,bleich wie der Tod
(as) strong as an ox,(so) stark wie ein Ochse
(as) thick as brick,dumm wie Bohnenstroh
(as) thick as pea soup,(so) dick wie Erbsensuppe
(as) tough as an old boot,(so) zäh wie altes Schuhleder
(to) within an inch of one's life,fast bis zu Tode
textbook example of ...,"ein ..., wie er im Buche steht"
Am my brother's keeper?,Bin ich für die anderen verantwortlich?
An army marches on its stomach.,Ohne Mampf kein Kampf.
Are they still an item?,Sind sie immer noch ein Paar?
as clear as the day,so klar wie der helle Tag
as happy as lark,munter wie ein Fisch im Wasser
as neat as pin,wie aus dem Ei gepellt
as smooth as millpond,so ruhig wie ein Mühlweiher
as sound as bell,gesund wie ein Fisch im Wasser
as sure as eggs is eggs,klar wie Kloßbrühe
at the behest of the heart,auf Geheiß des Herzens
at the drop of hat,"mir nichts, dir nichts"
at the end of the day,unterm Strich
Unverified At the heart of the matter is ...,Kern des Ganzen ist ...
at the top of the world,auf dem Dach der Welt
before you can say knife,ehe man sichs versieht
between rock and hard place,zwischen Hammer und Amboss
between you and me and the gatepost,unter vier Augen
But that is another story.,Aber das ist eine andere Geschichte.
by every trick in the book,nach allen Regeln der Kunst
by the skin of one's teeth,mit Hängen und Würgen
by the skin of one's teeth,nur mit knapper Not
cast in the same mold,aus dem gleichen Holz geschnitzt
cast in the same mould,aus dem gleichen Holz geschnitzt
come hell or high water,auf Teufel komm raus
Cross my heart (and hope die)!,Großes Indianerehrenwort!
Do have spell it out?,Muss ich es buchstabieren?
Does that mean anything you?,Sagt Ihnen das etwas?
Don't be wet blanket!,Sei kein Frosch!
Don't keep me on tenterhooks.,Lass mich nicht zappeln!
Everything will turn out all right.,Das wird sich alles finden.
for all one is worth,auf Teufel komm raus
from smoke into smother,vom Regen in die Traufe
Grow pair (of balls)!,Zeig (mal etwas) Rückgrat!
Have you lost your mind?,Bist du (denn) des Teufels?
Have you lost your senses?,Bist du (denn) des Teufels?
He has bats in the belfry.,Er hat einen Vogel.
He is being dried out.,Er ist auf Entzug.
He jumped at the opportunity.,Er packte die Gelegenheit beim Schopfe.
He kept his wits about him.,Er verlor nicht den Kopf.
He must work flat out.,Er muss sich ins Zeug legen.
He plays good knife and fork.,Er ist ein starker Esser.
He put me in the picture.,Er setzte mich ins Bild.
His hair stood on end.,Die Haare standen ihm zu Berge.
can't hear myself think!,Ich kann keinen klaren Gedanken fassen!
don't give hoot.,Mir ist das piepegal.
I'll snap you in two!,Ich mache Hackfleisch aus Dir!
I'm running out of time.,Mir läuft die Zeit davon.
in blaze of glory,mit Glanz und Gloria
in hell-for-leather manner,schnell wie der Blitz
in New York minute,auf der Stelle
in the back of beyond,am Arsch der Welt
in the blink of an eye,von einem Augenblick zum anderen
It gives me the shivers.,Ich kriege davon eine Gänsehaut.
It gives me the willies.,Dabei wird mir ganz anders.
It is no wonder that ...,"Es nimmt nicht wunder, dass ..."
It is on knife edge.,Es steht Spitz auf Knopf.
It was blessing in disguise.,Es war schließlich doch ein Segen.
It will (all) sort itself out.,Das wird sich (alles) finden.
It will turn up again.,Es wird sich wieder finden.
It's all the same me.,Es ist mir völlig egal.
It's hitting striking closer home.,Die Einschläge kommen näher.
It's like painting the Forth Bridge.,Es ist eine Sisyphusarbeit.
Let me get this straight.,Lassen Sie mich das klarstellen.
Let's call it day.,Machen wir Feierabend für heute.
Let's get on with it!,Frisch gewagt ist halb gewonnen!
My hair stood on end.,Die Haare standen mir zu Berge.
never not in month of Sundays,am Sankt-Nimmerleins-Tag
nine times out of ten,in der Regel
No one is above the law.,Niemand steht über dem Gesetz.
not by any stretch of the imagination,beim besten Willen nicht
not for anything in the world,um keinen Preis der Welt
not for love nor or money,nicht um die Burg
not for love or money,nicht für Geld und gute Worte
of one's own free will,aus eigenem Antrieb
of one's own free will,aus freien Stücken
on level playing field,auf (gleicher) Augenhöhe
on the same terms (with,unter den gleichen Bedingungen (wie
on the spur of the moment,Hals über Kopf
once in blue moon,nur alle Jubeljahre (einmal)
out of the goodness of one's heart,aus reiner Herzensgüte
penny-wise and pound-foolish,"sparsam im Kleinen, doch im Großen verschwenderisch"
Put up or shut up!,Butter bei die Fische!
Shall we call it quits?,Lassen wir's dabei bewenden?
Something leaps my mind.,Etwas schießt mir durch den Kopf.
That clinched it for him.,Das gab bei ihm den Ausschlag.
That fits him T.,Das passt ihm wie angegossen.
That gets on my nerves.,Das geht mir auf die Nerven.
That was the last straw.,Da platzte mir der Kragen.
That will be the day.,Das möchte ich einmal erleben.
That's not be sneezed at.,Das ist nicht zu verachten.
That's not be sniffed at.,Das ist nicht zu verachten.
That's quite out of the question.,Das geht keinesfalls an.
That's the way the cookie crumbles.,So läuft der Hase.
That's too deep for me.,Das geht über meinen Horizont.
The figures speak for themselves.,Die Zahlen sprechen eine klare Sprache.
The first shall be last.,Die Ersten werden die Letzten sein.
The truth will come out.,Die Wahrheit kommt (doch) ans Licht.
There will be hell pay.,Das dicke Ende kommt noch.
There's rub in it.,Die Sache hat einen Haken.
They are pulling my leg.,Sie nehmen mich auf den Arm.
They painted the town red.,Sie haben gefeiert bis zum Abwinken.
They've got what it takes.,Sie haben das Zeug dazu.
till the cows come home,bis zum Abwinken
Time is not on my side.,Mir läuft die Zeit davon.
"To come straight the point, ...",Um direkt zum Punkt zu kommen: ...
"To make long story short, ...",Um es abzukürzen: ...
cap it all off,zu allem Übel
the tips of one's fingers,bis in die Fingerspitzen
"two steps forward, one step back","zwei Schritte vor, einer zurück"
We are on short commons.,Bei uns ist Schmalhans Küchenmeister.
We are running out of time.,Uns läuft die Zeit davon.
What will happen will happen.,"Es kommt, wie es kommen muss."
What's the matter with you?,Was ist (mit) Ihnen?
when you are at dead end,wenn nichts mehr geht
Which is the odd one out?,Was gehört nicht in die Reihe?
with the skin of one's teeth,(nur) mit knapper Not
You haven't (got) the faintest idea!,Hast du eine Ahnung!
You sure are something (else).,Du bist mir so einer eine.
You sure are something (else).,Du bist mir vielleicht einer eine.
You're flogging dead horse.,Sie verschwenden Ihre Zeit.
You've been sold pup.,Du bist angeschmiert worden.
be (all) of piece with,mit (völlig) übereinstimmen
be get on roll,einen Lauf haben bekommen
be dead ringer for,aufs Haar gleichen
be meat and potatoes man,auf Hausmannskost stehen
